CASEID,REGION,METRO,MSASIZE,HH_SIZE,FAMINCOME,HH_NUMKIDS,HOUSETYPE,AGEYCHILD,HH_NUMADULTS,AGE,SEX,RACE,HISPAN,GENHEALTH,BMI,EDUC,EDUCYRS,SCHLCOLL,FULLPART,UHRSWORKT,HH_NUMOWNKIDS,PED,SED_EAT,FOODSHOP,SODA,STORE,EXFREQ,FASTFDFREQ,ENOUGHFD,ACT_CAREHH,ACT_CARENHH,ACT_EDUC,ACT_FOOD,ACT_HHACT,ACT_PURCH,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_VOL,ACT_WORK,ACT_SLEEPING
2.01E+13,2,2,6,2,16,0,1,NA,2,61,2,100,100,1,19.5,40,216,NA,NA,NA,0,134,15,1,2,1,14,3,1,0,0,100,134,61,40,0,365,75,0,0,450
2.01E+13,4,1,5,2,8,0,1,NA,2,79,1,110,100,4,23.7,32,216,NA,NA,NA,0,60,30,2,2,NA,NA,2,1,60,0,0,60,0,0,0,60,0,360,0,870
2.01E+13,3,2,5,6,16,0,1,NA,6,19,2,100,100,3,23.5,30,214,5,2,25,0,45,22,2,NA,NA,3,3,1,0,0,90,45,0,0,0,130,0,0,480,615
2.01E+13,4,2,7,1,16,0,1,NA,1,38,2,100,100,3,21.8,40,216,1,1,60,0,40,20,1,1,1,2,3,1,0,0,0,40,20,0,0,0,0,0,750,520
2.01E+13,3,2,0,2,9,0,1,NA,2,75,1,100,100,2,25.8,21,112,NA,2,18,0,85,120,2,NA,NA,7,NA,1,0,0,0,85,125,0,0,470,0,0,260,390
2.01E+13,2,3,2,1,12,0,1,NA,1,54,2,100,100,4,36,41,318,NA,1,50,0,125,90,1,1,2,NA,4,1,0,0,0,125,90,0,0,120,0,0,240,700
2.01E+13,3,1,5,1,12,0,1,NA,1,49,1,110,100,3,34.9,21,112,1,1,45,0,75,2,1,2,1,4,2,1,0,0,0,75,180,15,0,575,0,0,0,510
2.01E+13,3,2,7,4,16,2,1,12,2,51,2,100,100,2,28.1,40,216,NA,NA,NA,2,42,15,1,NA,1,NA,1,1,36,0,0,42,145,25,0,240,0,100,0,375
2.01E+13,4,4,0,2,12,0,1,NA,2,80,2,100,100,2,29,21,112,NA,NA,NA,0,53,0,1,2,1,NA,NA,1,0,0,0,53,200,10,0,393,0,0,0,600
2.01E+13,2,2,4,2,9,0,1,NA,2,52,2,100,100,3,24.3,30,214,NA,NA,NA,0,0,55,3,1,2,NA,1,1,0,0,0,0,0,0,0,705,0,0,150,420
2.01E+13,1,2,5,4,14,2,1,1,2,33,2,100,100,2,29,43,321,1,2,20,2,45,20,1,2,1,NA,2,1,230,0,0,45,70,10,0,225,0,0,220,470
2.01E+13,4,3,2,2,10,0,1,NA,2,33,1,100,210,4,34.7,31,214,1,1,40,0,120,0,3,2,1,1,2,1,0,0,0,120,120,0,0,135,0,0,495,525
2.01E+13,2,4,0,2,6,0,1,NA,2,24,2,100,100,2,NA,32,215,1,2,30,0,25,15,1,1,2,NA,2,1,0,0,0,25,1,0,0,814,0,0,0,600
2.01E+13,4,2,5,2,15,0,1,NA,2,48,1,100,100,2,26.5,30,213,1,1,55,0,40,2,2,NA,NA,NA,3,1,0,0,0,40,0,0,0,223,0,0,683,450
2.01E+13,3,2,3,6,12,2,1,15,4,16,1,131,100,3,24.2,14,109,3,NA,NA,0,0,10,2,NA,NA,NA,2,1,0,0,0,0,0,0,0,750,0,0,0,660
2.01E+13,3,4,0,1,6,0,5,NA,1,60,2,100,100,2,31.1,31,213,NA,1,40,0,65,5,1,1,1,NA,NA,1,0,0,0,65,35,0,0,580,0,0,0,710
2.01E+13,3,4,0,2,14,0,1,NA,2,72,2,110,100,3,26.6,41,318,NA,NA,NA,0,70,120,2,2,NA,NA,NA,1,0,110,0,70,180,0,0,430,0,0,0,625
2.01E+13,2,3,0,2,14,1,1,17,1,49,2,100,100,3,30.1,40,216,1,1,42,1,60,15,1,NA,2,NA,3,1,0,0,0,60,55,0,0,65,0,0,569,481
2.01E+13,2,3,3,3,15,1,1,4,2,38,1,100,100,2,29.5,40,216,1,1,37,1,75,15,2,1,NA,3,2,1,155,0,0,75,280,20,0,170,60,0,0,630
2.01E+13,2,2,4,2,10,0,1,NA,2,69,1,100,100,2,29,31,214,NA,NA,NA,0,25,15,1,1,2,3,NA,1,0,0,0,25,90,0,0,800,0,0,0,510
2.01E+13,4,1,7,2,3,0,1,NA,2,26,1,131,100,3,NA,32,214,5,NA,NA,0,150,0,1,NA,1,3,3,1,0,0,270,150,0,0,145,120,0,0,0,540
2.01E+13,3,3,3,1,15,0,1,NA,1,70,2,100,100,2,20.8,41,319,NA,NA,NA,0,140,60,1,2,1,5,NA,1,0,0,0,140,104,40,65,429,0,0,0,540
2.01E+13,2,3,2,3,11,1,1,17,2,41,1,100,100,3,24.4,21,112,1,1,40,1,17,0,3,2,2,NA,2,2,10,110,0,17,50,10,0,90,0,0,600,345
2.01E+13,3,1,5,3,1,2,1,4,1,44,2,110,100,2,20.8,32,213,1,2,6,2,40,0,1,2,2,NA,NA,1,90,0,0,40,155,0,0,0,0,0,300,685
2.01E+13,2,2,3,2,13,0,1,NA,2,63,2,100,100,4,36.6,32,214,NA,NA,NA,0,20,40,2,2,NA,NA,1,1,0,150,0,20,155,0,0,330,0,0,0,735
2.01E+13,4,1,6,3,11,1,1,13,2,47,1,100,100,2,27.4,30,112,1,1,70,1,120,2,3,1,2,2,3,1,0,0,0,120,135,30,0,425,0,0,0,540
2.01E+13,3,2,5,1,8,0,1,NA,1,71,2,100,100,3,32,21,112,NA,NA,NA,0,65,70,1,2,1,NA,2,1,0,0,0,65,425,0,0,440,0,0,0,480
2.01E+13,3,2,7,2,14,1,1,8,1,32,2,100,100,2,24.3,42,320,1,1,46,1,35,20,1,NA,1,1,10,1,79,0,0,35,35,50,0,145,0,33,360,529
2.01E+13,3,3,2,3,13,1,1,14,2,51,2,100,100,3,30.2,40,318,NA,1,50,1,20,0,1,NA,1,7,4,1,40,0,0,20,375,0,0,565,0,0,60,240
2.01E+13,4,2,7,5,15,1,1,16,4,18,2,100,210,3,26.6,30,112,5,NA,NA,0,80,7,2,NA,NA,3,NA,1,0,0,766,80,0,15,0,105,20,0,0,290
2.01E+13,2,3,0,2,9,0,1,NA,2,41,2,100,210,3,37.6,21,112,1,2,25,0,40,0,1,2,2,NA,2,1,0,0,0,40,65,5,0,70,0,0,410,700
2.01E+13,2,3,2,4,14,2,1,8,2,40,2,100,100,3,21.3,41,318,1,2,10,2,50,30,1,NA,1,2,NA,1,94,0,0,50,107,30,0,100,35,0,392,450
2.01E+13,3,1,4,2,11,0,1,NA,2,20,2,110,100,2,NA,21,112,1,NA,NA,0,0,20,1,2,2,NA,4,1,1,0,0,0,90,21,0,315,0,0,0,690
2.01E+13,1,2,6,1,7,0,1,NA,1,78,2,100,210,3,33.4,21,112,NA,NA,NA,0,90,10,1,NA,1,2,NA,1,0,27,0,105,20,0,0,590,0,0,0,450
2.01E+13,2,2,5,4,13,2,1,6,2,40,2,100,100,4,NA,41,319,1,1,50,2,120,0,1,NA,1,NA,6,1,170,0,0,120,60,0,0,0,0,0,495,445
2.01E+13,2,2,6,3,13,0,1,NA,3,46,2,100,210,3,28.3,21,112,1,NA,NA,0,120,10,1,NA,2,1,NA,1,0,0,0,120,480,120,0,30,30,0,0,515
2.01E+13,4,4,0,2,5,0,1,NA,2,62,1,100,250,NA,NA,30,214,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,20,393,60,0,240,0,0,0,655
2.01E+13,2,2,6,1,13,0,1,NA,1,53,1,100,100,3,30.4,30,112,NA,1,40,0,30,10,1,NA,2,NA,1,1,0,0,0,30,35,35,0,150,0,0,475,580
2.01E+13,3,2,5,2,12,0,1,NA,2,79,1,100,100,2,25.2,30,213,NA,NA,NA,0,70,60,2,NA,NA,21,1,1,0,0,0,70,245,0,0,445,0,0,0,600
2.01E+13,4,2,6,2,15,0,1,NA,2,67,1,100,100,2,28.6,42,320,NA,1,38,0,45,0,3,NA,1,10,5,1,10,0,0,45,30,0,0,455,0,0,4,889
2.01E+13,2,2,3,2,9,0,1,NA,2,62,2,100,100,4,32.2,21,112,NA,NA,NA,0,30,30,1,1,1,3,3,1,390,0,0,30,500,0,0,310,0,0,0,210
2.01E+13,3,2,6,5,14,1,1,3,4,50,2,100,100,4,31.8,30,215,NA,NA,NA,0,0,30,1,2,1,NA,2,1,0,0,0,0,95,0,165,60,0,115,265,595
2.01E+13,2,3,2,2,8,1,1,14,1,47,2,100,100,3,25.8,40,216,1,NA,NA,1,45,60,1,1,2,NA,NA,1,0,5,0,45,162,0,0,733,0,0,0,450
2.01E+13,2,4,0,4,9,1,1,15,3,18,2,100,100,1,21.1,21,112,5,NA,NA,0,106,60,2,1,NA,1,1,1,0,0,246,106,15,0,0,400,0,0,60,515
2.01E+13,4,1,3,3,16,0,1,NA,3,48,2,100,100,3,29.1,31,214,1,2,15,0,120,0,1,2,1,5,1,1,0,0,0,75,41,35,0,220,69,0,265,630
2.01E+13,3,1,3,1,5,0,1,NA,1,85,2,110,100,2,29.3,15,110,NA,NA,NA,0,60,0,1,1,1,NA,NA,1,0,0,0,60,0,0,275,145,0,0,0,660
2.01E+13,1,3,2,5,10,3,1,4,2,36,2,100,100,4,22.3,21,112,1,NA,NA,3,90,0,1,1,2,NA,1,1,90,0,0,90,105,0,0,480,0,0,0,675
2.01E+13,1,1,7,2,4,0,1,NA,2,64,1,110,100,3,30.7,21,112,NA,NA,NA,0,60,0,2,NA,NA,2,1,1,10,0,0,60,30,0,0,700,0,0,0,580
2.01E+13,3,1,0,1,12,0,1,NA,1,42,1,110,100,3,23.6,21,112,1,1,40,0,29,0,1,NA,2,NA,2,1,0,0,0,29,21,20,0,374,0,0,455,420
2.01E+13,2,2,3,1,10,0,1,NA,1,65,2,100,100,3,23.6,40,216,NA,NA,NA,0,45,0,1,1,2,NA,1,1,0,0,0,45,75,0,45,225,0,420,0,630
2.01E+13,1,2,5,1,10,0,1,NA,1,80,2,100,100,2,28.2,15,110,NA,NA,NA,0,90,0,1,1,1,NA,1,1,0,0,0,90,105,0,0,300,0,0,0,555
2.01E+13,3,2,7,3,14,0,1,NA,3,56,2,110,100,3,23,31,214,NA,1,9995,0,0,20,1,1,2,2,4,1,45,0,0,0,30,0,0,105,0,0,742,390
2.01E+13,4,3,0,5,12,3,1,2,2,34,1,100,100,2,31.7,40,318,4,2,25,3,25,30,2,1,NA,3,2,1,280,0,610,25,15,0,0,182,0,0,30,220
2.01E+13,3,3,3,1,15,0,1,NA,1,57,2,131,100,3,27.5,30,213,NA,1,40,0,75,0,1,NA,1,NA,NA,1,0,0,0,75,60,60,0,0,0,0,550,520
2.01E+13,3,3,2,4,12,2,1,2,2,34,1,100,100,3,29,21,112,1,1,60,2,15,2,1,1,1,3,2,1,22,0,0,15,130,60,0,206,0,0,90,808
2.01E+13,3,2,6,3,15,1,1,3,2,35,2,110,100,2,24.8,41,318,1,1,40,1,0,20,1,2,3,5,1,1,10,0,0,0,0,0,0,120,0,0,575,510
2.01E+13,1,2,7,2,14,0,1,NA,2,59,2,100,100,2,32.9,32,214,NA,1,40,0,40,50,1,2,1,NA,NA,1,0,0,0,40,40,35,0,255,0,0,505,430
2.01E+13,1,2,5,5,15,3,1,0,2,31,2,100,100,2,19.7,40,318,1,NA,NA,3,90,10,1,2,2,NA,2,1,360,0,0,90,231,94,0,15,0,0,0,410
2.01E+13,3,1,6,2,13,0,1,NA,2,52,2,100,240,1,17.2,40,216,NA,NA,NA,0,60,35,2,2,NA,4,NA,1,0,0,120,60,200,0,70,350,60,0,0,500
2.01E+13,4,1,5,1,12,0,1,NA,1,52,2,100,210,2,25.6,30,214,NA,1,40,0,15,30,1,2,1,4,NA,1,0,60,0,15,59,45,0,570,0,0,0,605
2.01E+13,3,2,7,2,3,0,1,NA,2,80,2,100,230,5,35.4,15,110,NA,NA,NA,0,180,630,3,NA,1,NA,NA,1,0,0,0,180,240,0,0,690,0,0,0,330
2.01E+13,4,1,4,4,14,2,1,8,2,44,2,100,210,NA,NA,13,107,1,1,40,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,60,235,60,0,305,0,0,0,720
2.01E+13,3,3,3,3,6,1,1,14,2,51,2,100,100,NA,NA,20,111,NA,1,35,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,65,0,0,310,0,0,525,408
